Date,TSLA,BND,SPY
2015-01-02,14.620667457580566,59.40545654296875,169.68783569335938
2015-01-05,14.005999565124512,59.57788848876953,166.62332153320312
2015-01-06,14.085332870483398,59.750431060791016,165.0539093017578
2015-01-07,14.063332557678223,59.786338806152344,167.11065673828125
2015-01-08,14.041333198547363,59.69291687011719,170.07611083984375
2015-01-09,13.77733325958252,59.793514251708984,168.7131805419922
2015-01-12,13.480667114257812,59.87255096435547,167.39157104492188
2015-01-13,13.616666793823242,59.930118560791016,166.9207305908203
2015-01-14,12.845999717712402,60.06665802001953,165.91294860839844
2015-01-15,12.791333198547363,60.33260726928711,164.39308166503906
2015-01-16,12.871333122253418,60.15287780761719,166.5490264892578
2015-01-20,12.795332908630371,60.088260650634766,166.90415954589844
2015-01-21,13.104666709899902,59.97322463989258,167.74668884277344
2015-01-22,13.441332817077637,59.98758316040039,170.2412567138672
2015-01-23,13.419333457946777,60.181663513183594,169.307861328125
2015-01-26,13.770000457763672,60.109798431396484,169.704345703125
2015-01-27,13.732000350952148,60.14574432373047,167.46583557128906
2015-01-28,13.291333198547363,60.3613395690918,165.31825256347656
2015-01-29,13.680000305175781,60.29667282104492,166.84632873535156
2015-01-30,13.573332786560059,60.627323150634766,164.74827575683594
2015-02-02,14.062666893005371,60.55524826049805,166.7885284423828
2015-02-03,14.557332992553711,60.368072509765625,169.2004852294922
2015-02-04,14.569999694824219,60.389625549316406,168.55616760253906
2015-02-05,14.732666969299316,60.25998306274414,170.2578125
2015-02-06,14.490667343139648,59.87109375,169.78701782226562
2015-02-09,14.498666763305664,59.849449157714844,169.02703857421875
2015-02-10,14.419333457946777,59.741451263427734,170.8277587890625
2015-02-11,14.186667442321777,59.741451263427734,170.9268798828125
2015-02-12,13.525333404541016,59.770267486572266,172.57066345214844
2015-02-13,13.584667205810547,59.6334114074707,173.28099060058594
2015-02-17,13.623332977294922,59.395713806152344,173.55361938476562
2015-02-18,13.630666732788086,59.56136703491211,173.57008361816406
2015-02-19,14.11400032043457,59.51095962524414,173.44622802734375
2015-02-20,14.473999977111816,59.52541732788086,174.48699951171875
2015-02-23,13.822667121887207,59.64780807495117,174.4622039794922
2015-02-24,13.607333183288574,59.8927001953125,174.95779418945312
2015-02-25,13.583999633789062,59.950321197509766,174.80911254882812
2015-02-26,13.812666893005371,59.78464126586914,174.60263061523438
2015-02-27,13.555999755859375,59.83505630493164,174.00794982910156
2015-03-02,13.155332565307617,59.64167404174805,175.10647583007812
2015-03-03,13.303999900817871,59.56953430175781,174.38787841796875
2015-03-04,13.496000289916992,59.56953430175781,173.6527099609375
2015-03-05,13.375332832336426,59.60554885864258,173.84271240234375
2015-03-06,12.925333023071289,59.25919723510742,171.39768981933594
2015-03-09,12.725333213806152,59.33134078979492,172.10809326171875
2015-03-10,12.687999725341797,59.56230163574219,169.31617736816406
2015-03-11,12.916000366210938,59.6271858215332,168.91970825195312
2015-03-12,12.73799991607666,59.670509338378906,171.06729125976562
2015-03-13,12.578666687011719,59.61281204223633,170.01824951171875
2015-03-16,13.046667098999023,59.7282829284668,172.28977966308594
2015-03-17,12.982000350952148,59.778770446777344,171.77764892578125
2015-03-18,13.380666732788086,60.14681625366211,173.84271240234375
2015-03-19,13.043333053588867,59.966392517089844,173.0497283935547
2015-03-20,13.20533275604248,60.125144958496094,174.57723999023438
2015-03-23,13.308667182922363,60.154014587402344,174.23703002929688
2015-03-24,13.447999954223633,60.25505447387695,173.25796508789062
2015-03-25,12.953332901000977,60.16123962402344,170.71905517578125
2015-03-26,12.694000244140625,59.966392517089844,170.31256103515625
2015-03-27,12.333333015441895,60.02411651611328,170.7024688720703
2015-03-30,12.704667091369629,60.09629440307617,172.7850799560547
2015-03-31,12.584667205810547,60.16123962402344,171.27499389648438
2015-04-01,12.505999565124512,60.40068054199219,170.66937255859375
2015-04-02,12.733332633972168,60.32108688354492,171.28326416015625
2015-04-06,13.539999961853027,60.371707916259766,172.43658447265625
2015-04-07,13.550000190734863,60.407875061035156,171.98028564453125
2015-04-08,13.844667434692383,60.3644905090332,172.5609893798828
2015-04-09,14.005999565124512,60.234275817871094,173.32437133789062
2015-04-10,14.0600004196167,60.20536804199219,174.27020263671875
2015-04-13,13.985333442687988,60.21980667114258,173.4819793701172
2015-04-14,13.830666542053223,60.32828903198242,173.81385803222656
2015-04-15,13.85533332824707,60.386165618896484,174.59378051757812
2015-04-16,13.779999732971191,60.371707916259766,174.54400634765625
2015-04-17,13.78600025177002,60.47296142578125,172.5360870361328
2015-04-20,13.684666633605957,60.407875061035156,174.112548828125
