Return,Volatility,Sharpe,Weight_TSLA,Weight_BND,Weight_SPY
0.1432717259766131,0.15000007837587895,0.6884778134437289,0.18205877561639985,0.46212908544657766,0.35581213893702246
0.32674869905353326,0.3923883775349083,0.7307777586455733,0.657381271833743,0.17132260711444883,0.1712961210518082
0.08550231823005494,0.0910150662903566,0.4999427027267472,0.03807825678154029,0.5678448096745716,0.3940769335438881
0.2720072249203752,0.3012081559853234,0.770255453944879,0.41686469204449644,0.012118741982948326,0.5710165659725552
0.3331193795529316,0.4023006823816992,0.7286077115693844,0.6786548843400361,0.1731109959235988,0.14823411973636516
0.1630912954104451,0.1710218954961014,0.7197399786347888,0.181157578987603,0.3005149012112804,0.5183275198011167
0.2174644977336971,0.23696298180999414,0.7489123253690099,0.32354776443628225,0.21814474801907058,0.4583074875446471
0.15296641729517088,0.15978000987096283,0.7070122062603559,0.17480425944469938,0.3660958890894621,0.45909985146583854
0.1746463550197961,0.19835508365724977,0.6788147424164839,0.31651310994496806,0.544913048424312,0.13857384163072003
0.21863837666620276,0.26167884112814316,0.6826626711432285,0.4459584572642928,0.513758448394915,0.0402830943407923
0.3424918147721653,0.4197106675794911,0.7207150976568277,0.7205907132938222,0.20225354479929625,0.07715574190688157
0.20821796924100855,0.23192025222462015,0.7253267777498169,0.3484815228069804,0.3546317318009484,0.2968867453920712
0.2200286542162493,0.23640195821721494,0.7615362223473303,0.28035754044975214,0.08989453670353455,0.6297479228467133
0.25897701218920294,0.28851123765520154,0.7589895422059828,0.4162719546463191,0.11541703223991515,0.4683110131137657
0.05913985397690165,0.06610503341114116,0.28953701388910985,0.028597786622496152,0.7561985798401574,0.21520363353734656
0.25578541225566853,0.2898782917644793,0.7444000409350767,0.4433659049657008,0.20859987143371847,0.3480342236005808
0.23040706464627603,0.24987212240268025,0.7620180387287319,0.32137700036931305,0.10866444745297019,0.5699585521777168
0.1916054672341958,0.20900113493536318,0.7253810716438556,0.29704731482496166,0.360035892509898,0.34291679266514025
0.1882513942115649,0.2215444771421697,0.6691721505493855,0.3717666808030997,0.5732097953138222,0.055023523883078046
0.2416020986768263,0.2634584262354581,0.7652140854157021,0.3459291411888761,0.0798306393630632,0.5742402194480607
0.2025648250238394,0.2165818624236209,0.750592977660671,0.26107383971629766,0.18226465890278054,0.5566615013809219
0.20838967716094542,0.2257306621129006,0.7459760919707233,0.30223499387627506,0.23800265747185712,0.4597623486518678
0.08920538716560328,0.09859286499926481,0.49907655250681876,0.13847707889007807,0.7882668477272332,0.07325607338268857
0.25148678284988935,0.29954754411488244,0.7060207536496442,0.5040673460740428,0.3944356308127906,0.10149702311316666
0.07906336847847512,0.09049711932031806,0.43165317053031055,0.003614327356873417,0.5337345230766596,0.462651149566467
0.22690509990623234,0.27182011709843323,0.6876058398523501,0.46306098178097127,0.4899062994327982,0.04703271878623042
0.2166116604299777,0.23222119382110146,0.760532049310003,0.26802414108306244,0.08663507466513515,0.6453407842518024
0.2936884170062244,0.35722727398971144,0.7101597091758759,0.6124248289969627,0.3251255820665762,0.06244958893646093
0.18527752553019378,0.19645937729561866,0.7394787030786016,0.22769712823767618,0.23809491217310147,0.5342079595892224
0.18801320781724323,0.20948615250263108,0.7065536602252707,0.3192599979209789,0.4442760865907433,0.2364639154882777
0.11191796914791666,0.11689690130857977,0.6152256248270471,0.0750454560179941,0.4475615017232569,0.47739304225874896
0.1870740742611875,0.20656248396800755,0.7120076764954393,0.30737399268116156,0.42220717562542204,0.27041883169341646
0.25586581360755867,0.3109090548605635,0.6943053289469815,0.5357554507944485,0.43819216653105125,0.02605238267450022
0.18238613266227383,0.19689809635750702,0.7231463142423883,0.13908355301401262,0.04051557139863785,0.8204008755873495
0.16407021473122785,0.17211947574757214,0.7208377447836721,0.18165687727373855,0.2938877234452725,0.5244553992809889
0.16284991992522718,0.17075081205514256,0.7194690229968207,0.17615008340518912,0.289976893253344,0.5338730233414669
0.24731316189632768,0.27317061688210054,0.7589145723743901,0.3841928143681414,0.12926296040609045,0.4865442252257682
0.10974757982177177,0.1134855972192254,0.6145941117711804,0.0848962344419666,0.48956208697844045,0.42554167857959296
0.1824075169356976,0.19740196234528212,0.7214088210866314,0.2743745994370875,0.37749484100830094,0.3481305595546116
0.11146202144052539,0.11454326780931193,0.6238867006963092,0.11527548184987252,0.5514827472570027,0.33324177089312473
0.21298086934720462,0.2460345292913712,0.7030755798603725,0.3994193437658429,0.44327272638180637,0.1573079298523507
0.15184917394156974,0.15888489038112186,0.7039635655302013,0.1438408856517063,0.29791751295501545,0.5582416013932783
0.23121289053223648,0.2807498737899708,0.6810791682680613,0.4852678346907225,0.5106079789621598,0.004124186347117636
0.23680274001008586,0.27434712194159006,0.7173493879479669,0.44402533934161326,0.362882116817274,0.19309254384111282
0.1408651466382295,0.15119241459628074,0.6671309993134452,0.0855942605733046,0.24108649226574858,0.6733192471609469
0.16739322942317292,0.1764873003915059,0.7218266081501249,0.20919114206036646,0.3357840907387965,0.45502476720083695
0.14076976234380395,0.14625314345332535,0.6890092066702361,0.15824713593720607,0.4229076245153407,0.4188452395474532
0.15974304215241142,0.17189157636598187,0.696619605706921,0.23981342104686168,0.4736110015900521,0.2865755773630861
0.23418462837965293,0.25295830454794344,0.7676546880984052,0.30585526663727924,0.03960836798578588,0.6545363653769348
0.3236991549603416,0.37803658980816957,0.7504542221807194,0.6035980604568079,0.061813747885567254,0.3345881916576248
0.33902234240502616,0.4125961861518266,0.7247336559116723,0.7025991900602759,0.18531576816053927,0.11208504177918474
0.16127369409116182,0.18132890911340677,0.6688050718670281,0.2850364507974498,0.5740008637549799,0.1409626854475703
0.21228140052406663,0.24613931828573274,0.6999344993881572,0.4021410077360501,0.45567963307687215,0.14217935918707778
0.2484390334324777,0.27962827995265255,0.7454147108002495,0.42134705227567476,0.21279986249054517,0.36585308523378024
0.2472994018626333,0.2963179678187762,0.6995843127184735,0.5029633578972555,0.4253550064051951,0.07168163569754936
0.30742344566734436,0.3694961429043611,0.7237516569599569,0.6221524126980299,0.23892433270753363,0.1389232545944365
