Ticker,BND,BND,BND,BND,BND,SPY,SPY,SPY,SPY,SPY,TSLA,TSLA,TSLA,TSLA,TSLA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2015-01-02,59.24732862143704,59.434207572674346,59.24013949308609,59.40545654296875,2218800,170.47255808561408,170.88556456408185,168.65531949719002,169.68783569335938,121465900,14.857999801635742,14.883333206176758,14.21733283996582,14.620667457580566,71466000
2015-01-05,59.470073622708924,59.59945036524328,59.44132262617997,59.57788848876953,5820100,168.6470505972124,168.81225065477216,166.31770079651972,166.62332153320312,169632600,14.303333282470703,14.433333396911621,13.810667037963867,14.005999565124512,80527500
2015-01-06,59.67855626069999,59.93012080286644,59.67855626069999,59.750431060791016,3887600,166.92894957322903,167.44934175106874,164.2609313452381,165.0539093017578,209151400,14.003999710083008,14.279999732971191,13.61400032043457,14.085332870483398,93928500
2015-01-07,59.75758780495614,59.85821356729646,59.69290216503427,59.786338806152344,2433400,166.3755058100245,167.44932502984875,165.9294644192436,167.11065673828125,125346700,14.223333358764648,14.3186674118042,13.985333442687988,14.063332557678223,44526000
2015-01-08,59.736040640688444,59.736040640688444,59.63541485355942,59.69291687011719,1873400,168.51494641434752,170.29088233585512,168.4984352253936,170.07611083984375,147217800,14.187333106994629,14.25333309173584,14.000666618347168,14.041333198547363,51637500
2015-01-09,59.664137517762846,59.865388996414275,59.656948398184866,59.793514251708984,1646100,170.48910371663968,170.50562750822505,168.10192629293343,168.7131805419922,158567300,13.928000450134277,13.998666763305664,13.663999557495117,13.77733325958252,70024500
2015-01-12,59.83661086645556,59.89411282961981,59.800670768555655,59.87255096435547,4397900,168.845362353067,169.00230687873824,166.78858493404508,167.39157104492188,144396100,13.536666870117188,13.631333351135254,13.283332824707031,13.480667114257812,89254500
2015-01-13,59.87980565424,59.994809717039765,59.82230910653566,59.930118560791016,2223400,168.60579178755538,169.729170120032,165.6238839596993,166.9207305908203,214553300,13.554667472839355,13.840666770935059,13.394000053405762,13.616666793823242,67159500
2015-01-14,60.11697090437835,60.174472910415034,60.052285260356925,60.06665802001953,2481200,164.91346747166824,166.1111962382504,164.02138464722543,165.91294860839844,192991100,12.388667106628418,13.013333320617676,12.333333015441895,12.845999717712402,173278500
2015-01-15,60.05229181388376,60.34698003051823,60.05229181388376,60.33260726928711,4214500,166.5489757172567,166.86285203095846,164.27744036968454,164.39308166503906,176613900,12.965999603271484,13.050000190734863,12.666666984558105,12.791333198547363,78247500
2015-01-16,60.23912528534601,60.26787627248565,60.07381396390571,60.15287780761719,3631300,164.18662850345416,166.70597099593076,164.0049046119339,166.5490264892578,211879600,12.713333129882812,12.965999603271484,12.643333435058594,12.871333122253418,54048000
2015-01-20,60.16013546507647,60.253577659177836,60.06669875467194,60.088260650634766,3029500,167.1850008985163,167.4493310684787,165.34299571593226,166.90415954589844,130991100,12.924667358398438,12.941332817077637,12.469332695007324,12.795332908630371,67548000
2015-01-21,60.2247890753901,60.231978197459576,59.9660355178231,59.97322463989258,2473900,166.4415870447863,168.22577780182866,165.9790218716173,167.74668884277344,122942700,12.636667251586914,13.245332717895508,12.633999824523926,13.104666709899902,62295000
2015-01-22,60.10977078810934,60.10977078810934,59.92289752821051,59.98758316040039,2157400,168.49836906255456,170.37340919341256,167.12718468012818,170.2412567138672,174356000,13.133333206176758,13.549332618713379,13.013333320617676,13.441332817077637,61753500
2015-01-23,60.116972383876984,60.21040903321626,60.09541050200586,60.181663513183594,6255000,169.98518533689273,170.24125991747914,169.17569624213647,169.307861328125,117516800,13.352666854858398,13.566666603088379,13.222000122070312,13.419333457946777,51579000
2015-01-26,60.181678700697674,60.19605146434113,60.073863780440526,60.109798431396484,7810500,169.09310423115286,169.795207625169,168.3827326417059,169.704345703125,92009700,13.45533275604248,13.907999992370605,13.403332710266113,13.770000457763672,48517500
2015-01-27,60.27512114368521,60.29668303306181,60.10980418563936,60.14574432373047,1154100,167.65581498160063,168.60572463711327,166.63982279120685,167.46583557128906,134044600,13.628000259399414,13.868666648864746,13.553333282470703,13.732000350952148,41715000
2015-01-28,60.11695883434819,60.44039795690283,60.10258607757128,60.3613395690918,1394600,168.64708417164115,168.74620170511815,165.12827308965936,165.31825256347656,168514300,13.740667343139648,13.758000373840332,13.227999687194824,13.291333198547363,47244000
2015-01-29,60.3326129530491,60.354174838773915,60.203236155005975,60.29667282104492,1551300,165.5164476333486,167.1023906847634,164.11221580090753,166.84632873535156,173585400,13.404666900634766,13.732000350952148,13.100000381469727,13.680000305175781,53221500
2015-01-30,60.5195081992766,60.627323150634766,60.454822518679435,60.627323150634766,10474400,165.6734188056964,166.99503192642172,164.48395817427368,164.74827575683594,197729700,13.597332954406738,13.83133316040039,13.533332824707031,13.573332786560059,45105000
2015-02-02,60.46161745909052,60.62726814982013,60.43281389917395,60.55524826049805,6070500,165.24388830461308,166.87939036836673,163.43491798072392,166.7885284423828,163107000,13.597999572753906,14.130000114440918,13.553333282470703,14.062666893005371,62238000
2015-02-03,60.447296141905916,60.490507034065104,60.332059769784536,60.368072509765625,1237200,167.68062446617702,169.20875342530874,167.30892116918625,169.2004852294922,124212900,14.214667320251465,14.691332817077637,14.084667205810547,14.557332992553711,72393000
2015-02-04,60.2455857039361,60.396829190015794,60.18076392717744,60.389625549316406,2945700,168.44052631630873,169.6465105332436,168.10185804807884,168.55616760253906,134306700,14.552666664123535,14.76533317565918,14.453332901000977,14.569999694824219,49581000
2015-02-05,60.27439034308427,60.32480483473978,60.2167722112587,60.25998306274414,2128200,169.21704055366874,170.40650140888124,169.1427024012078,170.2578125,97953200,14.658666610717773,15.031999588012695,14.642666816711426,14.732666969299316,52843500
2015-02-06,60.05114636556633,60.07995544342932,59.85669195845339,59.87109375,2907700,170.6212866268706,171.1829821636841,169.26662546674098,169.78701782226562,125672000,14.800000190734863,14.893333435058594,14.433333396911621,14.490667343139648,48658500
2015-02-09,59.97188353745031,59.986290814340464,59.82064009870071,59.849449157714844,1384600,169.1426798861956,169.86130713891177,168.622287680321,169.02703857421875,87219000,14.358667373657227,14.528667449951172,14.13266658782959,14.498666763305664,52086000
